Algorithm,Coverage,Uniformity,Overspray,Energy
Lawnmower,0.4125798525798526,0.3866167076212528,0.002764677853632174,17976.733878144754
GWO,0.3860933660933661,0.378305824333518,0.006682217245138766,10173.714730438487
C-GWO+,0.4163636363636364,0.397505297414473,0.0035441635637700375,9905.597068369367
